render_description,render_change,score_change,improvement_category,total_score,contrast,whitespace,edge_density,color_entropy,feature_density,duration
batch_0_NEGATIVE_str0.00_net34,8.892130374908447,-39.94914219825472,Regression,-45.68986819236483,33.41129415587848,0.0677,0.1602897663503724,1.7763028945781048,0.0944,9.466202974319458
batch_1_NEUTRAL_str0.77_net61,-1.2259433269500732,15.060228513240723,Performance Win,-30.629639679124104,32.96812210046295,0.0678,0.16059585756555453,2.3797791488676534,0.0918,8.240259647369385
batch_2_NEUTRAL_str0.90_net17,-0.13842439651489258,1.1546784045317438,Performance Win,-29.47496127459236,32.42658423316811,0.0673,0.16049382716049382,2.3930198234737015,0.0904,8.101835250854492
batch_3_NEGATIVE_str0.89_net83,0.22770071029663086,-1.9212850832524921,Regression,-31.396246357844852,32.869108293564395,0.0673,0.16151413121110092,2.4199118213768362,0.0902,8.329535961151123
batch_4_NEUTRAL_str0.18_net24,0.07483911514282227,-4.690168088971831,Regression,-36.08641444681668,33.1941871786196,0.0677,0.15794306703397612,1.595048545362594,0.0938,8.404375076293945
batch_5_NEGATIVE_str0.87_net35,-0.07786870002746582,4.75571764296226,Performance Win,-31.330696803854423,32.92046383680509,0.0674,0.162534435261708,2.4208270080815657,0.0968,8.32650637626648
batch_6_NEUTRAL_str0.99_net34,-0.09675455093383789,0.8804269159773384,Performance Win,-30.450269887877084,32.7171028230054,0.0677,0.16284052647689012,2.4207393907893264,0.0926,8.229751825332642
batch_7_POSITIVE_str0.00_net85,0.1389763355255127,-3.8377668530713436,Regression,-34.28803674094843,33.798989632167434,0.0678,0.16151413121110092,1.8219500103098796,0.0946,8.368728160858154
batch_8_NEUTRAL_str0.95_net39,-0.18825936317443848,4.586679757748932,Performance Win,-29.701356983199496,32.92996805360037,0.0673,0.16182022242628302,2.454669393367496,0.0914,8.180468797683716
batch_9_NEGATIVE_str0.86_net32,0.3375723361968994,-3.764741905735498,Regression,-33.466098888934994,32.91169829462923,0.0675,0.16192225283134373,2.3766926605113086,0.0926,8.518041133880615
batch_10_NEUTRAL_str0.39_net42,0.20995426177978516,-5.754272292137578,Regression,-39.22037118107257,33.41224178627751,0.0679,0.16090194878073666,1.5916923764785353,0.09,8.7279953956604
batch_11_NEGATIVE_str0.81_net67,-0.48455190658569336,8.42424744927127,Performance Win,-30.796123731801302,32.52858179743401,0.0677,0.16018773594531172,2.397804052045753,0.091,8.243443489074707
batch_12_NEGATIVE_str0.15_net85,0.07128238677978516,-3.9055131353111108,Regression,-34.70163686711241,33.85556859271484,0.0677,0.15988164473012959,1.6265675190150182,0.0926,8.314725875854492
batch_13_NEGATIVE_str0.68_net63,-0.16141343116760254,4.088860983658861,Performance Win,-30.61277588345355,32.622651070195595,0.0675,0.16059585756555453,2.2468046056635105,0.0942,8.15331244468689
batch_14_NEGATIVE_str0.39_net17,-0.0564730167388916,-2.3795003358333133,Regression,-32.992276219286865,33.35421908990594,0.0676,0.16059585756555453,1.583801703048029,0.0944,8.096839427947998
batch_15_POSITIVE_str0.89_net89,0.1079094409942627,2.5261681526703015,Regression,-30.466108066616563,32.479476188041055,0.0675,0.1617181920212223,2.393328505757103,0.0966,8.20474886894226
batch_16_POSITIVE_str0.36_net37,0.0565638542175293,-4.076658230031192,Regression,-34.542766296647756,33.53278243575272,0.0678,0.16192225283134373,1.5827939434147567,0.0946,8.26131272315979
batch_17_NEUTRAL_str0.03_net0,-0.19161295890808105,3.3745080942250283,Performance Win,-31.168258202422727,33.90198874099013,0.0675,0.1612080399959188,1.8405490139198601,0.097,8.069699764251709
batch_18_NEGATIVE_str0.10_net71,0.17105555534362793,-3.1346807956502474,Regression,-34.302938998072975,33.25578513708308,0.0678,0.1590654014896439,1.6173443258677715,0.0934,8.240755319595337
batch_19_NEGATIVE_str0.45_net12,-0.13344120979309082,2.72293844165155,Performance Win,-31.580000556421425,32.94348749860925,0.0676,0.15977961432506887,1.9282793584592832,0.092,8.107314109802246
batch_20_POSITIVE_str0.65_net89,0.1288454532623291,0.5377340284587504,Regression,-31.042266527962674,33.0518960231479,0.0675,0.16161616161616163,2.283676218221826,0.0938,8.236159563064575
batch_21_NEUTRAL_str0.41_net17,-0.11237740516662598,-2.200921433418678,Regression,-33.24318796138135,33.412873640859566,0.0678,0.16090194878073666,1.5796393594336704,0.101,8.12378215789795
batch_22_NEUTRAL_str0.31_net21,0.09194779396057129,-2.801556629155556,Regression,-36.04474459053691,33.09277797925795,0.0702,0.16049382716049382,1.2112331876838631,0.0928,8.21572995185852
batch_23_NEGATIVE_str0.17_net60,0.09925532341003418,0.8832488950522617,Regression,-35.161495695484646,33.18247012143316,0.0679,0.15855524946434038,1.6004243992968636,0.0918,8.314985275268555
batch_24_NEUTRAL_str0.48_net34,-0.0012135505676269531,2.704703692605378,Visual Polish,-32.45679200287927,33.38633572858764,0.0676,0.16069788797061524,2.121551475967238,0.0908,8.313771724700928
batch_25_NEUTRAL_str0.58_net18,-0.24253201484680176,3.0834359746580446,Performance Win,-29.373356028221224,33.219498401072016,0.0675,0.16069788797061524,2.2708583739568047,0.0934,8.071239709854126
batch_26_NEUTRAL_str0.59_net20,0.03980422019958496,-0.4575528480121207,Neutral,-29.830908876233345,33.11673663756466,0.0675,0.1613100704009795,2.269232421104287,0.0922,8.111043930053711
batch_27_NEGATIVE_str0.76_net3,-0.02664327621459961,0.38277094702720404,Neutral,-29.44813792920614,32.539748883012216,0.0676,0.15926946229976532,2.3491988335357727,0.0922,8.084400653839111
batch_28_POSITIVE_str0.67_net40,0.1973426342010498,-2.014195342686584,Regression,-31.462333271892724,33.1231232489081,0.0677,0.16161616161616163,2.281707596810968,0.098,8.281743288040161
batch_29_NEGATIVE_str0.49_net48,-0.04788827896118164,-0.3079147923606982,Neutral,-31.770248064253423,33.34746867544512,0.0676,0.16161616161616163,2.102913537762762,0.099,8.23385500907898
batch_30_POSITIVE_str0.31_net60,0.15297842025756836,-5.73164973095102,Regression,-37.50189779520444,33.3764758959086,0.0702,0.1602897663503724,1.2336397100413485,0.0926,8.386833429336548
batch_31_NEGATIVE_str0.27_net40,0.047657012939453125,1.290554878576927,Neutral,-36.211342916627515,33.044652076112094,0.0677,0.15957555351494745,1.6452470936152892,0.0928,8.434490442276001
batch_32_POSITIVE_str0.97_net63,-0.1615145206451416,5.158152504112962,Performance Win,-31.053190412514553,32.8705138165733,0.0673,0.16161616161616163,2.3752623791014775,0.0906,8.27297592163086
batch_33_POSITIVE_str0.41_net56,0.046253204345703125,-4.4933112254879575,Regression,-35.54650163800251,32.952924219044434,0.0679,0.15947352310988674,1.55486550244818,0.0938,8.319229125976562
batch_34_NEGATIVE_str0.74_net44,0.07279658317565918,3.38806388047297,Regression,-32.15843775752954,33.059128076406864,0.0675,0.16090194878073666,2.371451059157849,0.0908,8.392025709152222
batch_35_NEGATIVE_str0.87_net28,-0.044320106506347656,0.22933121545989366,Neutral,-31.929106542069647,32.419049515589876,0.0676,0.16100397918579737,2.3916849453188305,0.0894,8.347705602645874
batch_36_POSITIVE_str0.94_net45,0.07001519203186035,-0.5772632965654765,Regression,-32.50636983863512,32.47110663597418,0.0674,0.16100397918579737,2.413056958031026,0.0918,8.417720794677734
batch_37_NEUTRAL_str0.25_net31,-0.049643516540527344,-2.727662568041268,Regression,-35.23403240667639,33.70509852879211,0.0679,0.1586572798694011,1.6398382220599255,0.101,8.368077278137207
batch_38_POSITIVE_str0.29_net70,-0.12609243392944336,1.3581717542314422,Performance Win,-33.87586065244495,33.47385964250307,0.0679,0.16069788797061524,1.68241159367623,0.0926,8.241984844207764
batch_39_NEUTRAL_str0.97_net45,0.5299081802368164,-2.478608402718187,Regression,-36.354469055163136,32.40429826591748,0.0673,0.16151413121110092,2.3594624112647855,0.0902,8.77189302444458
batch_40_NEGATIVE_str0.09_net5,-0.6631050109863281,4.7285191047213,Performance Win,-31.625949950441836,33.79341551696671,0.0676,0.15937149270482603,1.8370444851314667,0.092,8.108788013458252
batch_41_NEUTRAL_str0.16_net98,0.23325657844543457,-3.2833344412411023,Regression,-34.90928439168294,33.679501767629304,0.0677,0.16049382716049382,1.657282128707855,0.0962,8.342044591903687
batch_42_NEUTRAL_str0.60_net71,-0.09350705146789551,3.743582256559904,Performance Win,-31.165702135123034,33.178876569834486,0.0674,0.1612080399959188,2.272046996863526,0.093,8.248537540435791
batch_43_POSITIVE_str0.79_net58,0.09859108924865723,-0.9100114109355033,Regression,-32.07571354605854,32.583200394114684,0.0677,0.1602897663503724,2.3437945107457216,0.0944,8.347128629684448
batch_44_NEGATIVE_str0.86_net30,-0.014092445373535156,0.48837377197746434,Neutral,-31.587339774081073,32.93231957447265,0.0675,0.16151413121110092,2.380372456358347,0.0898,8.333036184310913
batch_45_NEGATIVE_str0.37_net29,-0.04109692573547363,-3.6690946921357366,Regression,-35.25643446621681,32.957708095021516,0.0677,0.16069788797061524,1.5598208144053654,0.093,8.29193925857544
batch_46_POSITIVE_str0.39_net32,0.057865142822265625,-0.6374906321410876,Regression,-35.8939250983579,33.02208316635418,0.0677,0.1603917967554331,1.5416154664884139,0.1008,8.349804401397705
batch_3_NEGATIVE_str0.67_net9,-7.7536280155181885,29.93216123956273,Performance Win,-5.961763858795166,0.0,0.0,0.0,0.0,0.0,0.5961763858795166
batch_4_NEGATIVE_str0.48_net72,-0.00395965576171875,0.0395965576171875,Neutral,-5.9221673011779785,0.0,0.0,0.0,0.0,0.0,0.5922167301177979
batch_18_NEUTRAL_str0.69_net70,0.012662649154663086,-0.12662649154663086,Neutral,-6.048793792724609,0.0,0.0,0.0,0.0,0.0,0.6048793792724609
batch_19_NEUTRAL_str0.70_net70,-0.023383617401123047,0.23383617401123047,Neutral,-5.814957618713379,0.0,0.0,0.0,0.0,0.0,0.5814957618713379
batch_40_POSITIVE_str0.14_net5,0.0031232833862304688,-0.031232833862304688,Neutral,-5.846190452575684,0.0,0.0,0.0,0.0,0.0,0.5846190452575684
batch_41_NEUTRAL_str0.05_net61,0.00609278678894043,-0.0609278678894043,Neutral,-5.907118320465088,0.0,0.0,0.0,0.0,0.0,0.5907118320465088
